image_id,direction,image_path,processed,left_left_top_x,left_left_top_y,left_right_top_x,left_right_top_y,left_left_middle_x,left_left_middle_y,left_right_middle_x,left_right_middle_y,left_left_bottom_x,left_left_bottom_y,left_right_bottom_x,left_right_bottom_y,right_left_top_x,right_left_top_y,right_right_top_x,right_right_top_y,right_left_middle_x,right_left_middle_y,right_right_middle_x,right_right_middle_y,right_left_bottom_x,right_left_bottom_y,right_right_bottom_x,right_right_bottom_y,get_from,shashu,create_at,update_at
1,front,images/front/sr400_resize/000220160713_f_300_400.jpg,1,222.00000,113.00000,227.00000,113.00000,214.00000,156.00000,218.00000,157.00000,206.00000,200.00000,210.00000,203.00000,251.00000,117.00000,253.00000,118.00000,242.00000,154.00000,247.00000,157.00000,235.00000,206.00000,239.00000,209.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
2,front,images/front/sr400_resize/000220161109_f_300_400.jpg,1,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
3,front,images/front/sr400_resize/000520160113_f_300_400.jpg,1,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
4,front,images/front/sr400_resize/000820161116_f_300_400.jpg,1,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,99.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
5,front,images/front/sr400_resize/000920160525_f_300_400.jpg,2,224.00000,123.00000,224.00000,123.00000,224.00000,123.00000,224.00000,123.00000,224.00000,123.00000,224.00000,123.00000,224.00000,123.00000,224.00000,123.00000,284.00000,149.00000,284.00000,149.00000,284.00000,149.00000,339.00000,234.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
6,front,images/front/sr400_resize/001020160525_f_300_400.jpg,2,210.00000,170.00000,210.00000,170.00000,146.00000,82.00000,146.00000,82.00000,94.00000,115.00000,94.00000,115.00000,398.00000,173.00000,398.00000,173.00000,278.00000,197.00000,278.00000,197.00000,278.00000,197.00000,278.00000,190.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
7,front,images/front/sr400_resize/001020160928_f_300_400.jpg,2,214.00000,81.00000,148.00000,174.00000,73.00000,128.00000,142.00000,120.00000,236.00000,145.00000,275.00000,198.00000,139.00000,198.00000,133.00000,235.00000,118.00000,123.00000,94.00000,101.00000,89.00000,65.00000,269.00000,131.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
8,front,images/front/sr400_resize/001120160803_f_300_400.jpg,2,198.00000,160.00000,198.00000,160.00000,239.00000,137.00000,239.00000,137.00000,239.00000,137.00000,239.00000,137.00000,125.00000,119.00000,251.00000,132.00000,283.00000,149.00000,162.00000,158.00000,52.00000,126.00000,45.00000,7.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:39:21
9,front,images/front/sr400_resize/001220151223_f_300_400.jpg,0,8.00000,10.00000,8.00000,10.00000,8.00000,10.00000,8.00000,10.00000,8.00000,10.00000,8.00000,10.00000,383.00000,289.00000,383.00000,289.00000,383.00000,289.00000,383.00000,289.00000,383.00000,289.00000,383.00000,289.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
10,front,images/front/sr400_resize/001320160824_f_300_400.jpg,0,6.00000,11.00000,6.00000,11.00000,6.00000,11.00000,6.00000,11.00000,6.00000,11.00000,6.00000,11.00000,395.00000,292.00000,395.00000,292.00000,395.00000,292.00000,395.00000,292.00000,395.00000,292.00000,395.00000,292.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
11,front,images/front/sr400_resize/001720160615_f_300_400.jpg,0,3.00000,10.00000,3.00000,10.00000,3.00000,10.00000,3.00000,10.00000,3.00000,10.00000,3.00000,10.00000,392.00000,291.00000,392.00000,291.00000,392.00000,291.00000,392.00000,291.00000,392.00000,291.00000,392.00000,291.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
12,front,images/front/sr400_resize/001920160504_f_300_400.jpg,0,20.00000,12.00000,20.00000,12.00000,20.00000,12.00000,20.00000,12.00000,20.00000,12.00000,20.00000,12.00000,386.00000,294.00000,386.00000,294.00000,386.00000,294.00000,386.00000,294.00000,386.00000,294.00000,386.00000,294.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
13,front,images/front/sr400_resize/002320160727_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
14,front,images/front/sr400_resize/002520160727_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
15,front,images/front/sr400_resize/002720160803_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
16,front,images/front/sr400_resize/003020160907_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 23:37:22
17,front,images/front/sr400_resize/003020161012_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 22:46:35
18,front,images/front/sr400_resize/003020161109_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 22:46:35
19,front,images/front/sr400_resize/003020161207_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 22:46:35
20,front,images/front/sr400_resize/003120160928_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 22:46:35
21,front,images/front/sr400_resize/003220161019_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 22:47:32
22,front,images/front/sr400_resize/003820160210_f_300_400.jpg,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,bds,sr400,2017-02-17 00:05:00,2017-02-27 22:47:32
